SEN-16467,1,temp humidity
PRT-12885,1,sunny buddy solar
DEV-14352,2,qwiic for arduino
BOB-16281,1,RTC
KIT-15081,1,qwiic cables various sizes
PRT-17257,1,500mm qwiic
DEV-15164,1,Openlog qwiic

### Unfulfilled
,1,10V  W solar panel
,1,LiPo battery 
